,healthy_GSM4205771,healthy_GSM4205772,healthy_GSM4205773,healthy_GSM4205774,disease_GSM4205775,disease_GSM4205776,disease_GSM4205777,disease_GSM4205778
ENSG00000206384,0,0,0,0,0,0,0,0
ENSG00000206417,3,5,5,3,1,1,5,0
ENSG00000206418,69,177,111,103,111,135,100,133
ENSG00000206422,0,0,0,0,0,0,0,0
ENSG00000206432,0,0,0,0,0,0,1,2
ENSG00000206483,0,0,0,0,0,0,0,0
ENSG00000206503,175,507,234,208,527,601,507,560
ENSG00000206527,45,152,60,36,39,57,50,44
ENSG00000206530,0,0,3,2,1,7,1,7
ENSG00000206531,0,0,0,0,0,0,0,0
ENSG00000206532,0,0,0,0,0,0,0,1
ENSG00000206535,8,23,5,1,13,3,8,6
ENSG00000206536,0,0,0,0,0,0,0,0
ENSG00000206538,48,101,103,56,96,115,108,126
ENSG00000206549,0,0,0,0,0,0,0,0
ENSG00000206552,0,0,0,0,0,0,0,0
ENSG00000206557,0,0,0,0,0,0,0,0
ENSG00000206559,1,9,3,1,0,7,0,1
ENSG00000206560,58,153,150,105,62,109,107,121
ENSG00000206561,0,0,0,0,2,0,0,1
ENSG00000206562,2,46,25,11,11,12,14,9
ENSG00000206567,3,4,0,4,1,1,1,1
ENSG00000206573,10,52,19,27,37,30,24,37
ENSG00000206579,0,0,0,0,0,0,0,0
ENSG00000207955,0,0,0,0,0,0,0,0
ENSG00000211445,37,80,18,23,29,58,30,45
ENSG00000211448,3,10,4,9,37,28,29,41
ENSG00000211450,104,275,90,93,125,152,111,138
ENSG00000211452,0,0,0,0,0,0,0,0
ENSG00000211455,7,4,39,3,1,18,13,8
ENSG00000211456,34,150,104,37,61,66,53,58
ENSG00000211460,89,231,140,80,115,88,88,110
ENSG00000211584,40,100,45,31,41,52,35,62
ENSG00000211592,0,0,0,0,0,0,0,0
ENSG00000211593,0,0,0,0,0,0,0,0
ENSG00000211594,0,0,0,0,0,0,0,0
ENSG00000211595,0,0,0,0,0,0,0,0
ENSG00000211596,0,0,0,0,0,0,0,0
ENSG00000211597,0,0,0,0,0,0,0,0
ENSG00000211598,0,0,0,0,0,0,0,0
ENSG00000211599,0,0,0,0,0,0,0,0
ENSG00000211611,0,0,0,0,0,0,0,0
ENSG00000211623,0,0,0,0,0,0,0,0
ENSG00000211625,0,0,0,0,0,0,0,0
ENSG00000211626,0,0,0,0,0,0,0,0
ENSG00000211632,0,0,0,0,0,0,0,0
ENSG00000211633,0,0,0,0,0,0,0,0
ENSG00000211637,0,0,0,0,0,0,0,0
ENSG00000211638,0,0,0,0,0,0,0,0
ENSG00000211639,0,0,0,0,0,0,0,0
ENSG00000211640,0,0,0,0,0,0,0,0
ENSG00000211641,0,0,0,0,0,0,0,0
ENSG00000211642,0,0,0,0,0,0,0,0
ENSG00000211643,0,0,0,0,0,0,0,0
ENSG00000211644,0,0,0,0,0,0,0,0
ENSG00000211645,0,0,0,0,0,0,0,0
ENSG00000211647,0,0,0,0,0,0,0,0
ENSG00000211648,0,0,0,0,0,0,0,0
ENSG00000211649,0,0,0,0,0,0,0,0
ENSG00000211650,0,0,0,0,0,0,0,0
ENSG00000211651,0,0,0,0,0,0,0,0
ENSG00000211652,0,0,0,0,0,0,0,0
ENSG00000211653,0,0,0,0,0,0,0,0
ENSG00000211654,0,0,0,0,0,0,0,0
ENSG00000211655,0,0,0,0,0,0,0,0
ENSG00000211656,0,0,0,0,0,0,0,0
ENSG00000211657,0,0,0,0,0,0,0,0
ENSG00000211658,0,0,0,0,0,0,0,0
ENSG00000211659,0,0,0,0,0,0,0,0
ENSG00000211660,0,0,0,0,0,0,0,0
ENSG00000211661,0,0,0,0,0,0,0,0
ENSG00000211662,0,0,0,0,0,0,0,0
ENSG00000211663,0,0,0,0,0,0,0,0
ENSG00000211664,0,0,0,0,0,0,0,0
ENSG00000211665,0,0,0,0,0,0,0,0
ENSG00000211666,0,0,0,0,0,0,0,0
ENSG00000211667,0,0,0,0,0,0,0,0
ENSG00000211668,0,0,0,0,0,0,0,0
ENSG00000211669,0,0,0,0,0,0,0,0
ENSG00000211670,0,0,0,0,0,0,0,0
ENSG00000211672,0,0,0,0,0,0,0,0
ENSG00000211673,0,0,0,0,0,0,0,0
ENSG00000211674,0,0,0,0,0,0,0,0
ENSG00000211675,0,0,0,0,0,0,0,0
ENSG00000211676,0,0,0,0,0,0,0,0
ENSG00000211677,0,0,0,0,0,0,0,0
ENSG00000211678,0,0,0,0,0,0,0,0
ENSG00000211679,0,0,0,0,0,0,0,0
ENSG00000211680,0,0,0,0,0,0,0,0
ENSG00000211681,0,0,0,0,0,0,0,0
ENSG00000211682,0,0,0,0,0,0,0,0
ENSG00000211684,0,0,0,0,0,0,0,0
ENSG00000211685,0,0,0,0,0,0,0,0
ENSG00000211687,0,0,0,0,0,0,0,0
ENSG00000211688,0,0,0,0,0,0,0,0
ENSG00000211689,0,0,0,0,0,0,0,0
ENSG00000211690,0,0,0,0,0,0,0,0
ENSG00000211691,0,0,0,0,0,0,0,0
ENSG00000211692,0,0,0,0,0,0,0,0
ENSG00000211693,0,0,0,0,0,0,0,0
ENSG00000211694,0,0,0,0,0,0,0,0
ENSG00000211695,0,0,0,0,0,0,0,0
ENSG00000211696,0,0,0,0,0,0,0,0
ENSG00000211697,0,0,0,0,0,0,0,0
ENSG00000211698,0,0,0,0,0,0,0,0
ENSG00000211699,0,0,0,0,0,0,0,0
ENSG00000211701,0,0,0,0,0,0,0,0
ENSG00000211706,0,0,0,0,0,0,0,0
ENSG00000211707,0,0,0,0,0,0,0,0
ENSG00000211710,0,0,0,0,0,0,0,0
ENSG00000211713,0,0,0,0,0,0,0,0
ENSG00000211714,0,0,0,0,0,0,0,0
ENSG00000211715,0,0,0,0,0,0,0,0
ENSG00000211716,0,0,0,0,0,0,0,0
ENSG00000211717,0,0,0,0,0,0,0,0
ENSG00000211720,0,0,0,0,0,0,0,0
ENSG00000211721,0,0,0,0,0,0,0,0
ENSG00000211724,0,0,0,0,0,0,0,0
ENSG00000211725,0,0,0,0,0,0,0,0
ENSG00000211727,0,0,0,0,0,0,0,0
ENSG00000211728,0,0,0,0,0,0,0,0
ENSG00000211731,0,0,0,0,0,0,0,0
ENSG00000211734,0,0,0,0,0,0,0,0
ENSG00000211739,0,0,0,0,0,0,0,0
ENSG00000211745,0,0,0,0,0,0,0,0
ENSG00000211746,0,0,0,0,0,0,0,0
ENSG00000211747,0,0,0,0,0,0,0,0
ENSG00000211749,0,0,0,0,0,0,0,0
ENSG00000211750,0,0,0,0,0,0,0,0
ENSG00000211751,0,0,0,0,0,0,0,0
ENSG00000211752,0,0,0,0,0,0,0,0
ENSG00000211753,0,0,0,0,0,0,0,0
ENSG00000211764,0,0,0,0,0,0,0,0
ENSG00000211765,0,0,0,0,0,0,0,0
ENSG00000211766,0,0,0,0,0,0,0,0
ENSG00000211767,0,0,0,0,0,0,0,0
ENSG00000211768,0,0,0,0,0,0,0,0
ENSG00000211769,0,0,0,0,0,0,0,0
ENSG00000211770,0,0,0,0,0,0,0,0
ENSG00000211771,0,0,0,0,0,0,0,0
ENSG00000211772,0,17,0,3,2,0,1,1
ENSG00000211776,0,0,0,0,0,0,0,0
ENSG00000211777,0,0,0,0,0,0,0,0
ENSG00000211778,0,0,0,0,0,0,0,0
ENSG00000211779,0,0,0,0,0,0,0,0
ENSG00000211780,0,0,0,0,0,0,0,0
ENSG00000211781,0,0,0,0,0,0,0,0
ENSG00000211782,0,0,0,0,0,0,0,0
ENSG00000211783,0,0,0,0,0,0,0,0
ENSG00000211784,0,0,0,0,0,0,0,0
ENSG00000211785,0,0,0,0,0,0,0,0
ENSG00000211786,0,0,0,0,0,0,0,0
ENSG00000211787,0,0,0,0,0,0,0,0
ENSG00000211788,0,0,0,0,0,0,0,0
ENSG00000211789,0,0,0,0,0,0,0,0
ENSG00000211790,0,0,0,0,0,0,0,0
ENSG00000211791,0,0,0,0,0,0,0,0
ENSG00000211792,0,0,0,0,0,0,0,0
ENSG00000211793,0,0,0,0,0,0,0,0
ENSG00000211794,0,0,0,0,0,0,0,0
ENSG00000211795,0,0,0,0,0,0,0,0
ENSG00000211796,0,0,0,0,0,0,0,0
ENSG00000211797,0,0,0,0,0,0,0,0
ENSG00000211798,0,0,0,0,0,0,0,0
ENSG00000211799,0,0,0,0,0,0,0,0
ENSG00000211800,0,0,0,0,0,0,0,0
ENSG00000211801,0,0,0,0,0,0,0,0
ENSG00000211802,0,0,0,0,0,0,0,0
ENSG00000211803,0,0,0,0,0,0,0,0
ENSG00000211804,0,0,0,0,0,0,0,0
ENSG00000211805,0,0,0,0,0,0,0,0
ENSG00000211806,0,0,0,0,0,0,0,0
ENSG00000211807,0,0,0,0,0,0,0,0
ENSG00000211808,0,0,0,0,0,0,0,0
ENSG00000211809,0,0,0,0,0,0,0,0
ENSG00000211810,0,0,0,0,0,0,0,0
ENSG00000211812,0,0,0,0,0,0,0,0
ENSG00000211813,0,0,0,0,0,0,0,0
ENSG00000211814,0,0,0,0,0,0,0,0
ENSG00000211815,0,0,0,0,0,0,0,0
ENSG00000211816,0,0,0,0,0,0,0,0
ENSG00000211817,0,0,0,0,0,0,0,0
ENSG00000211818,0,0,0,0,0,0,0,0
ENSG00000211819,0,0,0,0,0,0,0,0
ENSG00000211820,0,0,0,0,0,0,0,0
ENSG00000211821,0,0,0,0,0,0,0,0
ENSG00000211825,0,0,0,0,0,0,0,0
ENSG00000211826,0,0,0,0,0,0,0,0
ENSG00000211827,0,0,0,0,0,0,0,0
ENSG00000211828,0,0,0,0,0,0,0,0
ENSG00000211829,0,0,0,0,0,0,0,0
ENSG00000211831,0,0,0,0,0,0,0,0
ENSG00000211832,0,0,0,0,0,0,0,0
ENSG00000211833,0,0,0,0,0,0,0,0
ENSG00000211834,0,0,0,0,0,0,0,0
ENSG00000211835,0,0,0,0,0,0,0,0
ENSG00000211836,0,0,0,0,0,0,0,0
ENSG00000211837,0,0,0,0,0,0,0,0
ENSG00000211838,0,0,0,0,0,0,0,0
ENSG00000211839,0,0,0,0,0,0,0,0
ENSG00000211840,0,0,0,0,0,0,0,0
ENSG00000211841,0,0,0,0,0,0,0,0
ENSG00000211842,0,0,0,0,0,0,0,0
ENSG00000211843,0,0,0,0,0,0,0,0
ENSG00000211844,0,0,0,0,0,0,0,0
ENSG00000211845,0,0,0,0,0,0,0,0
ENSG00000211846,0,0,0,0,0,0,0,0
ENSG00000211847,0,0,0,0,0,0,0,0
ENSG00000211848,0,0,0,0,0,0,0,0
ENSG00000211849,0,0,0,0,0,0,0,0
ENSG00000211850,0,0,0,0,0,0,0,0
ENSG00000211851,0,0,0,0,0,0,0,0
ENSG00000211854,0,0,0,0,0,0,0,0
ENSG00000211855,0,0,0,0,0,0,0,0
ENSG00000211856,0,0,0,0,0,0,0,0
ENSG00000211857,0,0,0,0,0,0,0,0
ENSG00000211858,0,0,0,0,0,0,0,0
ENSG00000211859,0,0,0,0,0,0,0,0
ENSG00000211860,0,0,0,0,0,0,0,0
ENSG00000211861,0,0,0,0,0,0,0,0
ENSG00000211862,0,0,0,0,0,0,0,0
ENSG00000211863,0,0,0,0,0,0,0,0
ENSG00000211864,0,0,0,0,0,0,0,0
ENSG00000211865,0,0,0,0,0,0,0,0
ENSG00000211866,0,0,0,0,0,0,0,0
ENSG00000211867,0,0,0,0,0,0,0,0
ENSG00000211868,0,0,0,0,0,0,0,0
ENSG00000211869,0,0,0,0,0,0,0,0
ENSG00000211870,0,0,0,0,0,0,0,0
ENSG00000211871,0,0,0,0,0,0,0,0
ENSG00000211872,0,0,0,0,0,0,0,0
ENSG00000211873,0,0,0,0,0,0,0,0
ENSG00000211875,0,0,0,0,0,0,0,0
ENSG00000211876,0,0,0,0,0,0,0,0
ENSG00000211877,0,0,0,0,0,0,0,0
ENSG00000211878,0,0,0,0,0,0,0,0
ENSG00000211879,0,0,0,0,0,0,0,0
ENSG00000211880,0,0,0,0,0,0,0,0
ENSG00000211881,0,0,0,0,0,0,0,0
ENSG00000211882,0,0,0,0,0,0,0,0
ENSG00000211883,0,0,0,0,0,0,0,0
ENSG00000211884,0,0,0,0,0,0,0,0
ENSG00000211885,0,0,0,0,0,0,0,0
ENSG00000211886,0,0,0,0,0,0,0,0
ENSG00000211887,0,0,0,0,0,0,0,0
ENSG00000211888,0,0,0,0,0,0,0,0
ENSG00000211890,0,0,0,0,0,0,0,0
ENSG00000211891,0,0,0,0,0,0,0,0
ENSG00000211892,0,0,0,0,0,0,0,0
ENSG00000211893,0,0,0,0,0,0,0,0
ENSG00000211895,0,0,0,0,0,0,0,0
ENSG00000211896,0,0,0,0,0,0,0,0
ENSG00000211897,0,0,0,0,0,0,0,0
ENSG00000211898,0,0,0,0,0,0,0,0
ENSG00000211899,0,0,0,0,0,0,0,0
ENSG00000211900,0,0,0,0,0,0,0,0
ENSG00000211904,0,0,0,0,0,0,0,0
ENSG00000211905,0,0,0,0,0,0,0,0
ENSG00000211907,0,0,0,0,0,0,0,0
ENSG00000211909,0,0,0,0,0,0,0,0
ENSG00000211911,0,0,0,0,0,0,0,0
ENSG00000211912,0,0,0,0,0,0,0,0
ENSG00000211914,0,0,0,0,0,0,0,0
ENSG00000211915,0,0,0,0,0,0,0,0
ENSG00000211917,0,0,0,0,0,0,0,0
ENSG00000211918,0,0,0,0,0,0,0,0
ENSG00000211920,0,0,0,0,0,0,0,0
ENSG00000211921,0,0,0,0,0,0,0,0
ENSG00000211923,0,0,0,0,0,0,0,0
ENSG00000211924,0,0,0,0,0,0,0,0
ENSG00000211925,0,0,0,0,0,0,0,0
ENSG00000211928,0,0,0,0,0,0,0,0
ENSG00000211930,0,0,0,0,0,0,0,0
ENSG00000211931,0,0,0,0,0,0,0,0
ENSG00000211933,0,0,0,0,0,0,0,0
ENSG00000211934,0,0,0,0,0,0,0,0
ENSG00000211935,0,0,0,0,0,0,0,0
ENSG00000211937,0,0,0,0,0,0,0,0
ENSG00000211938,0,0,0,0,0,0,0,0
ENSG00000211941,0,0,0,0,0,0,0,0
ENSG00000211942,0,0,0,0,0,0,0,0
ENSG00000211943,0,0,0,0,0,0,0,0
ENSG00000211944,0,0,0,0,0,0,0,0
ENSG00000211945,0,0,0,0,0,0,0,0
ENSG00000211946,0,0,0,0,0,0,0,0
ENSG00000211947,0,0,0,0,0,0,0,0
ENSG00000211949,0,0,0,0,0,0,0,0
ENSG00000211950,0,0,0,0,0,0,0,0
ENSG00000211951,0,0,0,0,0,0,0,0
ENSG00000211952,0,0,0,0,0,0,0,0
ENSG00000211955,0,0,0,0,0,0,0,0
ENSG00000211956,0,0,0,0,0,0,0,0
ENSG00000211957,0,0,0,0,0,0,0,0
ENSG00000211958,0,0,0,0,0,0,0,0
ENSG00000211959,0,0,0,0,0,0,0,0
ENSG00000211961,0,0,0,0,0,0,0,0
ENSG00000211962,0,0,0,0,0,0,0,0
ENSG00000211964,0,0,0,0,0,0,0,0
ENSG00000211965,0,0,0,0,0,0,0,0
ENSG00000211966,0,0,0,0,0,0,0,0
ENSG00000211967,0,0,0,0,0,0,0,0
ENSG00000211968,0,0,0,0,0,0,0,0
ENSG00000211970,0,0,0,0,0,0,0,0
ENSG00000211972,0,0,0,0,0,0,0,0
ENSG00000211973,0,0,0,0,0,0,0,0
ENSG00000211974,0,0,0,0,0,0,0,0
ENSG00000211976,0,0,0,0,0,0,0,0
ENSG00000211978,0,0,0,0,0,0,0,0
ENSG00000211979,0,0,0,0,0,0,0,0
ENSG00000212122,0,0,0,0,0,0,0,0
ENSG00000212123,0,0,0,0,2,0,0,0
ENSG00000212124,0,0,0,0,1,2,0,1
ENSG00000212126,0,0,0,0,0,0,0,0
ENSG00000212127,3,5,0,0,3,2,1,1
ENSG00000212128,0,0,5,0,0,0,0,0
ENSG00000212643,2,3,2,0,1,2,0,3
ENSG00000212657,0,0,0,0,0,0,0,0
ENSG00000212658,0,0,0,0,0,0,0,0
ENSG00000212659,0,0,0,0,0,0,0,0
ENSG00000212663,0,0,0,0,0,0,0,0
ENSG00000212694,10,22,10,2,10,11,4,8
ENSG00000212710,0,0,0,0,0,0,0,0
ENSG00000212719,23,55,41,25,26,29,29,44
ENSG00000212721,0,0,0,0,0,0,0,0
ENSG00000212722,0,0,0,0,0,0,0,0
ENSG00000212724,21,78,57,49,6,7,6,5
ENSG00000212725,0,0,0,0,0,0,0,0
ENSG00000212743,0,0,0,0,0,1,1,0
ENSG00000212747,53,146,60,57,70,64,75,49
ENSG00000212766,0,0,0,0,0,0,0,0
ENSG00000212807,0,0,0,0,0,0,0,0
ENSG00000212855,0,0,0,0,0,0,0,0
ENSG00000212856,0,0,0,0,0,0,0,0
ENSG00000212864,0,2,1,1,3,12,4,2
ENSG00000212899,0,0,0,0,0,0,0,0
ENSG00000212900,0,0,0,0,0,0,0,0
ENSG00000212901,0,0,0,0,0,0,0,0
ENSG00000212907,436,1027,549,440,552,427,459,648
ENSG00000212916,0,1,0,0,3,2,4,2
ENSG00000212930,0,0,0,0,0,0,0,0
ENSG00000212933,0,0,0,0,0,0,0,0
ENSG00000212935,0,0,0,0,0,0,0,0
ENSG00000212938,0,0,0,0,0,0,0,0
ENSG00000212939,0,0,0,0,0,0,0,0
ENSG00000212993,0,0,0,0,0,0,0,0
ENSG00000213015,88,181,58,28,90,82,63,74
ENSG00000213020,11,40,6,23,28,25,27,29
ENSG00000213022,0,0,0,0,0,0,0,0
ENSG00000213023,0,0,0,0,0,0,0,0
ENSG00000213024,82,285,142,96,93,101,113,106
ENSG00000213029,0,0,0,0,0,0,0,0
ENSG00000213030,0,0,0,0,0,0,0,0
ENSG00000213047,10,21,23,10,8,13,11,4
ENSG00000213057,0,1,0,0,0,0,2,1
ENSG00000213062,0,0,0,0,0,0,0,0
ENSG00000213064,57,137,101,87,40,60,55,71
ENSG00000213066,14,39,13,11,6,10,20,17
ENSG00000213077,0,0,0,0,0,0,0,0
ENSG00000213079,33,55,40,23,22,43,22,41
ENSG00000213085,8,7,12,0,0,0,0,4
ENSG00000213088,0,0,0,0,0,0,0,0
ENSG00000213096,1,10,8,1,2,2,10,8
ENSG00000213121,0,0,0,0,0,0,0,0
ENSG00000213123,7,48,4,8,14,22,19,28
ENSG00000213139,0,2,0,1,0,2,0,0
ENSG00000213145,0,0,0,0,5,0,0,2
ENSG00000213160,3,7,0,7,2,4,4,8
ENSG00000213171,0,0,0,0,0,0,0,0
ENSG00000213185,5,20,9,18,6,3,3,2
ENSG00000213186,13,33,18,29,3,10,7,14
ENSG00000213190,40,111,33,38,35,23,27,23
ENSG00000213199,0,1,0,0,0,0,0,0
ENSG00000213203,0,0,0,0,0,0,0,0
ENSG00000213204,0,0,6,0,0,2,0,0
ENSG00000213213,0,0,0,0,6,0,0,0
ENSG00000213214,0,0,0,0,0,0,0,0
ENSG00000213218,0,0,0,0,0,0,0,0
ENSG00000213221,1,20,2,0,2,2,1,9
ENSG00000213231,0,0,0,0,0,0,0,0
ENSG00000213240,0,0,0,0,0,0,0,0
ENSG00000213246,210,594,227,133,281,188,172,224
ENSG00000213265,0,0,0,0,0,0,0,0
ENSG00000213279,0,0,0,0,0,0,0,0
ENSG00000213281,41,90,98,36,44,45,54,45
ENSG00000213297,0,0,0,0,0,0,0,0
ENSG00000213316,0,0,0,0,0,0,0,0
ENSG00000213337,34,77,27,21,24,21,19,21
ENSG00000213339,9,15,3,10,12,18,4,8
ENSG00000213341,14,52,43,28,9,19,10,10
ENSG00000213347,5,27,23,5,10,5,9,18
ENSG00000213366,0,0,0,1,2,0,5,2
ENSG00000213373,0,0,0,0,0,0,0,0
ENSG00000213380,41,73,37,40,58,32,29,47
ENSG00000213390,5,40,32,11,4,9,8,5
ENSG00000213397,30,56,17,12,58,17,24,34
ENSG00000213398,6,15,19,7,6,6,6,6
ENSG00000213401,0,0,0,0,0,0,0,0
ENSG00000213402,0,0,0,0,0,0,0,0
ENSG00000213413,0,0,0,0,0,0,0,0
ENSG00000213416,0,2,0,0,2,0,0,0
ENSG00000213417,0,0,0,0,0,0,1,0
ENSG00000213420,3,11,9,0,6,2,2,5
ENSG00000213424,0,0,0,0,0,0,0,0
ENSG00000213445,7,19,18,9,13,10,11,13
ENSG00000213462,13,23,19,2,15,15,8,15
ENSG00000213463,26,75,89,43,27,65,61,83
ENSG00000213465,93,205,89,70,170,110,109,143
ENSG00000213468,0,0,0,0,0,0,0,4
ENSG00000213512,0,0,0,0,0,0,0,0
ENSG00000213516,21,46,56,33,28,37,34,70
ENSG00000213523,62,204,83,60,68,72,64,92
ENSG00000213533,9,19,2,19,8,5,6,7
ENSG00000213551,80,241,92,73,38,54,36,61
ENSG00000213563,15,82,25,12,49,58,45,61
ENSG00000213578,0,0,0,0,0,0,0,0
ENSG00000213585,192,608,412,315,154,207,192,241
ENSG00000213588,1,6,4,2,0,3,2,0
ENSG00000213593,143,339,159,104,101,90,80,78
ENSG00000213614,23,107,40,49,53,68,56,74
ENSG00000213619,117,423,151,97,208,164,170,205
ENSG00000213625,78,283,181,126,70,154,126,183
ENSG00000213626,159,555,359,242,124,223,176,214
ENSG00000213638,0,0,0,0,0,0,0,0
ENSG00000213639,113,273,166,91,129,112,148,134
ENSG00000213648,0,0,0,0,4,2,0,5
ENSG00000213654,13,14,4,5,8,7,8,12
ENSG00000213658,2,8,0,7,2,8,4,7
ENSG00000213672,16,41,18,17,18,27,23,22
ENSG00000213676,28,58,17,25,47,20,11,19
ENSG00000213689,0,0,0,0,0,0,0,0
ENSG00000213694,9,39,41,31,43,92,63,85
ENSG00000213699,47,151,93,53,88,80,61,40
ENSG00000213714,1,3,0,0,0,0,0,0
ENSG00000213719,361,1086,314,222,434,260,162,184
ENSG00000213722,47,124,55,32,81,42,53,75
ENSG00000213741,3200,9830,4520,3446,5201,4399,4476,5077
ENSG00000213742,3,0,0,0,1,1,5,2
ENSG00000213759,0,0,0,0,0,0,0,0
ENSG00000213760,1,8,0,3,7,4,7,4
ENSG00000213762,13,28,15,14,13,6,22,14
ENSG00000213780,0,0,0,0,0,0,0,0
ENSG00000213782,3,15,17,4,4,5,1,0
ENSG00000213793,0,0,0,0,0,0,0,0
ENSG00000213799,4,5,11,2,2,3,6,1
ENSG00000213809,0,0,0,0,0,0,0,2
ENSG00000213822,0,0,0,0,0,0,0,0
ENSG00000213853,153,458,199,198,180,165,177,222
ENSG00000213859,11,16,17,2,17,20,8,16
ENSG00000213863,0,0,0,0,0,0,0,0
ENSG00000213865,6,5,7,10,4,7,9,4
ENSG00000213886,0,0,0,0,0,0,0,0
ENSG00000213888,1,6,8,0,3,7,5,5
ENSG00000213889,4,13,15,8,6,4,14,10
ENSG00000213892,0,0,0,0,0,0,0,0
ENSG00000213901,0,0,0,0,0,0,0,0
ENSG00000213903,4,7,0,1,8,6,6,3
ENSG00000213904,4,5,0,2,4,4,1,7
ENSG00000213906,2,5,0,0,3,0,1,0
ENSG00000213918,12,20,18,21,20,22,14,27
ENSG00000213920,3,18,10,5,18,8,5,8
ENSG00000213921,0,0,0,0,0,0,0,0
ENSG00000213923,235,521,228,165,358,243,231,348
ENSG00000213927,0,7,0,0,0,1,0,0
ENSG00000213928,0,2,0,1,2,1,4,0
ENSG00000213930,14,52,41,4,40,23,21,39
ENSG00000213931,0,1,0,0,2,2,0,1
ENSG00000213934,0,0,0,0,1,0,0,0
ENSG00000213937,0,0,0,0,0,0,0,0
ENSG00000213949,22,90,45,26,27,41,46,61
ENSG00000213965,4,10,14,5,5,7,3,2
ENSG00000213967,1,0,2,6,0,1,2,0
ENSG00000213973,0,0,0,0,0,0,0,0
ENSG00000213977,228,565,247,142,191,161,127,158
ENSG00000213981,0,0,0,0,0,0,0,0
ENSG00000213983,1,0,0,0,2,9,11,1
ENSG00000213988,2,5,13,0,2,2,5,4
ENSG00000213994,0,0,0,0,0,0,0,0
ENSG00000213995,10,29,24,29,23,17,37,21
ENSG00000213996,3,0,0,0,5,7,0,0
ENSG00000213999,0,0,0,0,0,0,0,0
ENSG00000214013,30,61,52,20,37,29,16,22
ENSG00000214021,14,16,25,8,17,16,14,21
ENSG00000214022,22,57,51,22,17,19,18,14
ENSG00000214026,1,3,0,11,0,2,5,1
ENSG00000214029,2,3,2,5,5,5,0,7
ENSG00000214039,0,0,0,0,0,0,0,0
ENSG00000214042,0,0,0,0,0,0,0,0
ENSG00000214043,0,0,0,0,0,0,0,0
ENSG00000214046,131,249,142,115,142,123,105,115
ENSG00000214050,0,0,0,0,0,0,0,0
ENSG00000214063,77,218,65,117,106,117,86,142
ENSG00000214078,171,395,170,125,123,126,115,137
ENSG00000214087,20,48,26,37,29,19,24,10
ENSG00000214097,1,0,0,0,0,0,0,0
ENSG00000214102,0,0,0,0,0,0,0,0
ENSG00000214106,2,17,17,8,3,7,10,10
ENSG00000214107,0,0,0,0,0,0,0,0
ENSG00000214113,77,133,64,47,77,84,72,77
ENSG00000214114,24,76,43,18,16,19,20,24
ENSG00000214128,0,0,0,0,0,0,0,0
ENSG00000214140,0,3,2,0,0,5,0,0
ENSG00000214145,0,0,0,0,0,0,0,0
ENSG00000214146,0,0,0,0,0,0,0,0
ENSG00000214160,76,191,94,42,111,115,90,130
ENSG00000214184,0,0,0,0,2,2,4,0
ENSG00000214189,5,35,11,1,7,10,11,5
ENSG00000214193,1,3,0,3,1,2,2,4
ENSG00000214194,33,98,94,81,15,31,40,41
ENSG00000214212,0,0,0,0,0,0,1,0
ENSG00000214215,0,0,0,0,0,0,0,0
ENSG00000214216,0,0,0,0,0,0,0,0
ENSG00000214226,5,9,9,10,12,6,5,3
ENSG00000214248,0,0,0,0,0,0,0,0
ENSG00000214253,169,344,109,98,173,165,108,193
ENSG00000214265,0,0,0,2,1,4,2,7
ENSG00000214274,10,14,0,4,5,6,4,12
ENSG00000214285,0,0,0,0,0,0,0,0
ENSG00000214290,0,0,0,0,0,0,0,0
ENSG00000214293,1,2,8,7,3,0,1,1
ENSG00000214300,0,0,0,0,0,0,0,0
ENSG00000214309,5,33,12,0,2,4,5,5
ENSG00000214324,0,0,0,0,0,0,0,0
ENSG00000214336,0,0,0,0,0,0,0,0
ENSG00000214338,0,0,0,0,0,0,0,0
ENSG00000214347,0,0,0,0,0,0,0,0
ENSG00000214353,0,0,0,2,0,1,0,1
ENSG00000214357,47,142,59,45,43,40,37,44
ENSG00000214360,0,0,0,0,0,0,0,0
ENSG00000214367,9,27,19,9,12,5,6,4
ENSG00000214376,0,3,9,0,0,0,0,0
ENSG00000214381,0,0,0,0,0,0,0,0
ENSG00000214401,0,16,0,1,4,4,2,0
ENSG00000214402,0,0,0,0,0,1,1,1
ENSG00000214407,0,0,0,0,0,0,0,0
ENSG00000214413,23,68,57,42,23,17,33,25
ENSG00000214414,0,0,0,0,0,0,0,0
ENSG00000214415,0,0,0,0,0,0,0,0
ENSG00000214432,0,0,0,0,0,0,0,0
ENSG00000214435,0,0,0,0,0,0,0,0
ENSG00000214447,0,0,0,0,0,0,0,0
ENSG00000214456,0,0,0,0,0,0,0,0
ENSG00000214491,0,0,0,0,0,0,1,0
ENSG00000214510,0,0,0,0,0,0,0,0
ENSG00000214511,0,0,0,0,0,0,0,0
ENSG00000214513,0,0,0,0,0,0,0,0
ENSG00000214517,71,209,111,96,61,80,59,86
ENSG00000214518,0,0,0,0,0,1,1,0
ENSG00000214530,1,0,0,0,6,2,1,8
ENSG00000214546,0,0,0,0,0,0,0,0
ENSG00000214548,304,571,328,185,482,400,297,429
ENSG00000214559,4,0,0,0,0,1,0,0
ENSG00000214562,0,0,0,0,0,0,0,0
ENSG00000214575,22,26,12,6,47,50,35,48
ENSG00000214595,0,0,0,0,0,0,0,1
ENSG00000214614,0,0,0,0,0,0,0,0
ENSG00000214642,0,0,0,0,0,0,0,0
